Dataset                      Metric                   metric valor     e    n
../datasets_2/albrecht.arff  RMSE                        4.38753     700   50
../datasets_2/albrecht.arff  R2 Score                   -3.4258      700   50
../datasets_2/albrecht.arff  MAE                         4.2285      700   75
../datasets_2/albrecht.arff  Median Absolute Error       2.14016     700   75
../datasets_2/albrecht.arff  RMSE                        6.91766     700   75
../datasets_2/albrecht.arff  R2 Score                  -10.002       700   75
../datasets_2/albrecht.arff  MAE                         6.4564      700  100
../datasets_2/albrecht.arff  Median Absolute Error       3.73067     700  100
../datasets_2/albrecht.arff  RMSE                        9.53589     700  100
../datasets_2/albrecht.arff  R2 Score                  -19.9061      700  100
../datasets_2/albrecht.arff  MAE                         1.26798     800   25
../datasets_2/albrecht.arff  Median Absolute Error       1.20034     800   25
../datasets_2/albrecht.arff  RMSE                        1.46218     800   25
../datasets_2/albrecht.arff  R2 Score                    0.50847     800   25
../datasets_2/albrecht.arff  MAE                         3.40758     800   50
../datasets_2/albrecht.arff  Median Absolute Error       0.506388    800   50
../datasets_2/albrecht.arff  RMSE                        5.62095     800   50
../datasets_2/albrecht.arff  R2 Score                   -6.2639      800   50
../datasets_2/albrecht.arff  MAE                         4.55144     800   75
../datasets_2/albrecht.arff  Median Absolute Error       2.18224     800   75
../datasets_2/albrecht.arff  RMSE                        7.18631     800   75
../datasets_2/albrecht.arff  R2 Score                  -10.873       800   75
../datasets_2/albrecht.arff  MAE                         6.10529     800  100
../datasets_2/albrecht.arff  Median Absolute Error       2.78568     800  100
../datasets_2/albrecht.arff  RMSE                        9.26508     800  100
../datasets_2/albrecht.arff  R2 Score                  -18.7355      800  100
../datasets_2/albrecht.arff  MAE                         2.47498     900   25
../datasets_2/albrecht.arff  Median Absolute Error       2.23962     900   25
../datasets_2/albrecht.arff  RMSE                        3.28215     900   25
../datasets_2/albrecht.arff  R2 Score                   -1.47666     900   25
../datasets_2/albrecht.arff  MAE                         4.92678     900   50
../datasets_2/albrecht.arff  Median Absolute Error       2.96836     900   50
../datasets_2/albrecht.arff  RMSE                        7.42212     900   50
../datasets_2/albrecht.arff  R2 Score                  -11.665       900   50
../datasets_2/albrecht.arff  MAE                         6.50323     900   75
../datasets_2/albrecht.arff  Median Absolute Error       3.16067     900   75
../datasets_2/albrecht.arff  RMSE                       10.2541      900   75
../datasets_2/albrecht.arff  R2 Score                  -23.1738      900   75
../datasets_2/albrecht.arff  MAE                         6.27759     900  100
../datasets_2/albrecht.arff  Median Absolute Error       1.9862      900  100
../datasets_2/albrecht.arff  RMSE                       10.6483      900  100
../datasets_2/albrecht.arff  R2 Score                  -25.0681      900  100
../datasets_2/albrecht.arff  MAE                         1.98193    1000   25
../datasets_2/albrecht.arff  Median Absolute Error       1.78147    1000   25
../datasets_2/albrecht.arff  RMSE                        2.16827    1000   25
../datasets_2/albrecht.arff  R2 Score                   -0.0808769  1000   25
../datasets_2/albrecht.arff  MAE                         3.50005    1000   50
../datasets_2/albrecht.arff  Median Absolute Error       0.562221   1000   50
../datasets_2/albrecht.arff  RMSE                        5.99772    1000   50
../datasets_2/albrecht.arff  R2 Score                   -7.27032    1000   50
../datasets_2/albrecht.arff  MAE                         6.47078    1000   75
../datasets_2/albrecht.arff  Median Absolute Error       1.32586    1000   75
../datasets_2/albrecht.arff  RMSE                       10.7757     1000   75
../datasets_2/albrecht.arff  R2 Score                  -25.6957     1000   75
../datasets_2/albrecht.arff  MAE                         6.34965    1000  100
../datasets_2/albrecht.arff  Median Absolute Error       1.91161    1000  100
../datasets_2/albrecht.arff  RMSE                       10.4151     1000  100
../datasets_2/albrecht.arff  R2 Score                  -23.9391     1000  100
../datasets_2/kemerer.arff   MAE                        92.5282      100   25
../datasets_2/kemerer.arff   Median Absolute Error      81.086       100   25
../datasets_2/kemerer.arff   RMSE                       95.8875      100   25
../datasets_2/kemerer.arff   R2 Score                  -13.5518      100   25
../datasets_2/kemerer.arff   MAE                        88.9772      100   50
../datasets_2/kemerer.arff   Median Absolute Error      77.6167      100   50
../datasets_2/kemerer.arff   RMSE                       92.4964      100   50
../datasets_2/kemerer.arff   R2 Score                  -12.5407      100   50
../datasets_2/kemerer.arff   MAE                        85.9803      100   75
../datasets_2/kemerer.arff   Median Absolute Error      74.4461      100   75
../datasets_2/kemerer.arff   RMSE                       89.6666      100   75
../datasets_2/kemerer.arff   R2 Score                  -11.7249      100   75
../datasets_2/kemerer.arff   MAE                        86.0546      100  100
../datasets_2/kemerer.arff   Median Absolute Error      74.6416      100  100
../datasets_2/kemerer.arff   RMSE                       89.6782      100  100
../datasets_2/kemerer.arff   R2 Score                  -11.7282      100  100
../datasets_2/kemerer.arff   MAE                        89.2543      200   25
../datasets_2/kemerer.arff   Median Absolute Error      77.8164      200   25
../datasets_2/kemerer.arff   RMSE                       92.7275      200   25
../datasets_2/kemerer.arff   R2 Score                  -12.6084      200   25
../datasets_2/kemerer.arff   MAE                        87.806       200   50
../datasets_2/kemerer.arff   Median Absolute Error      76.3562      200   50
../datasets_2/kemerer.arff   RMSE                       91.3367      200   50
../datasets_2/kemerer.arff   R2 Score                  -12.2033      200   50
../datasets_2/kemerer.arff   MAE                        77.5889      200   75
../datasets_2/kemerer.arff   Median Absolute Error      66.1511      200   75
../datasets_2/kemerer.arff   RMSE                       81.5867      200   75
../datasets_2/kemerer.arff   R2 Score                   -9.53488     200   75
../datasets_2/kemerer.arff   MAE                        72.8896      200  100
../datasets_2/kemerer.arff   Median Absolute Error      61.474       200  100
../datasets_2/kemerer.arff   RMSE                       77.1094      200  100
../datasets_2/kemerer.arff   R2 Score                   -8.41035     200  100
../datasets_2/kemerer.arff   MAE                        85.2061      300   25
../datasets_2/kemerer.arff   Median Absolute Error      73.7768      300   25
../datasets_2/kemerer.arff   RMSE                       88.8393      300   25
../datasets_2/kemerer.arff   R2 Score                  -11.4911      300   25
../datasets_2/kemerer.arff   MAE                        78.5614      300   50
../datasets_2/kemerer.arff   Median Absolute Error      67.1272      300   50
../datasets_2/kemerer.arff   RMSE                       82.4848      300   50
../datasets_2/kemerer.arff   R2 Score                   -9.76809     300   50
../datasets_2/kemerer.arff   MAE                        69.5459      300   75
../datasets_2/kemerer.arff   Median Absolute Error      58.1163      300   75
../datasets_2/kemerer.arff   RMSE                       73.9503      300   75
../datasets_2/kemerer.arff   R2 Score                   -7.65509     300   75
../datasets_2/kemerer.arff   MAE                        65.2661      300  100
../datasets_2/kemerer.arff   Median Absolute Error      53.7155      300  100
../datasets_2/kemerer.arff   RMSE                       69.8976      300  100
../datasets_2/kemerer.arff   R2 Score                   -6.73243     300  100
../datasets_2/kemerer.arff   MAE                        84.602       400   25
../datasets_2/kemerer.arff   Median Absolute Error      73.1669      400   25
../datasets_2/kemerer.arff   RMSE                       88.2572      400   25
../datasets_2/kemerer.arff   R2 Score                  -11.328       400   25
../datasets_2/kemerer.arff   MAE                        75.349       400   50
../datasets_2/kemerer.arff   Median Absolute Error      63.9139      400   50
../datasets_2/kemerer.arff   RMSE                       79.4309      400   50
../datasets_2/kemerer.arff   R2 Score                   -8.98552     400   50
