Dataset                      Metric                   metric valor     e    n
../datasets_2/cocomo81.arff  Median Absolute Error      87.0728      800  100
../datasets_2/cocomo81.arff  RMSE                     1792.68        800  100
../datasets_2/cocomo81.arff  R2 Score                   -0.159928    800  100
../datasets_2/cocomo81.arff  MAE                       771.935       900   25
../datasets_2/cocomo81.arff  Median Absolute Error      83.8713      900   25
../datasets_2/cocomo81.arff  RMSE                     1828.89        900   25
../datasets_2/cocomo81.arff  R2 Score                   -0.207254    900   25
../datasets_2/cocomo81.arff  MAE                       754.1         900   50
../datasets_2/cocomo81.arff  Median Absolute Error      50.1494      900   50
../datasets_2/cocomo81.arff  RMSE                     1814.98        900   50
../datasets_2/cocomo81.arff  R2 Score                   -0.188965    900   50
../datasets_2/cocomo81.arff  MAE                       741.282       900   75
../datasets_2/cocomo81.arff  Median Absolute Error      70.3237      900   75
../datasets_2/cocomo81.arff  RMSE                     1799.23        900   75
../datasets_2/cocomo81.arff  R2 Score                   -0.168418    900   75
../datasets_2/cocomo81.arff  MAE                       738.39        900  100
../datasets_2/cocomo81.arff  Median Absolute Error      98.2226      900  100
../datasets_2/cocomo81.arff  RMSE                     1788.44        900  100
../datasets_2/cocomo81.arff  R2 Score                   -0.154449    900  100
../datasets_2/cocomo81.arff  MAE                       769.599      1000   25
../datasets_2/cocomo81.arff  Median Absolute Error      79.3917     1000   25
../datasets_2/cocomo81.arff  RMSE                     1827.03       1000   25
../datasets_2/cocomo81.arff  R2 Score                   -0.204802   1000   25
../datasets_2/cocomo81.arff  MAE                       750.692      1000   50
../datasets_2/cocomo81.arff  Median Absolute Error      42.4091     1000   50
../datasets_2/cocomo81.arff  RMSE                     1811.85       1000   50
../datasets_2/cocomo81.arff  R2 Score                   -0.184871   1000   50
../datasets_2/cocomo81.arff  MAE                       736.761      1000   75
../datasets_2/cocomo81.arff  Median Absolute Error      77.998      1000   75
../datasets_2/cocomo81.arff  RMSE                     1796.16       1000   75
../datasets_2/cocomo81.arff  R2 Score                   -0.164435   1000   75
../datasets_2/cocomo81.arff  MAE                       736.749      1000  100
../datasets_2/cocomo81.arff  Median Absolute Error     118.083      1000  100
../datasets_2/cocomo81.arff  RMSE                     1780.9        1000  100
../datasets_2/cocomo81.arff  R2 Score                   -0.144734   1000  100
../datasets_2/china.arff     MAE                      4411.8         100   25
../datasets_2/china.arff     Median Absolute Error    2353.21        100   25
../datasets_2/china.arff     RMSE                     8333.47        100   25
../datasets_2/china.arff     R2 Score                   -0.389412    100   25
../datasets_2/china.arff     MAE                      4388.26        100   50
../datasets_2/china.arff     Median Absolute Error    2329.68        100   50
../datasets_2/china.arff     RMSE                     8321.04        100   50
../datasets_2/china.arff     R2 Score                   -0.385269    100   50
../datasets_2/china.arff     MAE                      4366.82        100   75
../datasets_2/china.arff     Median Absolute Error    2308.24        100   75
../datasets_2/china.arff     RMSE                     8309.75        100   75
../datasets_2/china.arff     R2 Score                   -0.381513    100   75
../datasets_2/china.arff     MAE                      4333.68        100  100
../datasets_2/china.arff     Median Absolute Error    2275.09        100  100
../datasets_2/china.arff     RMSE                     8292.38        100  100
../datasets_2/china.arff     R2 Score                   -0.375742    100  100
../datasets_2/china.arff     MAE                      4391.98        200   25
../datasets_2/china.arff     Median Absolute Error    2333.4         200   25
../datasets_2/china.arff     RMSE                     8323           200   25
../datasets_2/china.arff     R2 Score                   -0.385923    200   25
../datasets_2/china.arff     MAE                      4342.58        200   50
../datasets_2/china.arff     Median Absolute Error    2283.99        200   50
../datasets_2/china.arff     RMSE                     8297.03        200   50
../datasets_2/china.arff     R2 Score                   -0.377288    200   50
../datasets_2/china.arff     MAE                      4278.86        200   75
../datasets_2/china.arff     Median Absolute Error    2219.39        200   75
../datasets_2/china.arff     RMSE                     8263.4         200   75
../datasets_2/china.arff     R2 Score                   -0.366146    200   75
../datasets_2/china.arff     MAE                      4227.5         200  100
../datasets_2/china.arff     Median Absolute Error    2166.96        200  100
../datasets_2/china.arff     RMSE                     8236.37        200  100
../datasets_2/china.arff     R2 Score                   -0.357223    200  100
../datasets_2/china.arff     MAE                      4348.94        300   25
../datasets_2/china.arff     Median Absolute Error    2290.35        300   25
../datasets_2/china.arff     RMSE                     8300.36        300   25
../datasets_2/china.arff     R2 Score                   -0.378395    300   25
../datasets_2/china.arff     MAE                      4280.52        300   50
../datasets_2/china.arff     Median Absolute Error    2221.24        300   50
../datasets_2/china.arff     RMSE                     8264.36        300   50
../datasets_2/china.arff     R2 Score                   -0.366462    300   50
../datasets_2/china.arff     MAE                      4227.26        300   75
../datasets_2/china.arff     Median Absolute Error    2166.78        300   75
../datasets_2/china.arff     RMSE                     8236.28        300   75
../datasets_2/china.arff     R2 Score                   -0.357193    300   75
../datasets_2/china.arff     MAE                      4117.63        300  100
../datasets_2/china.arff     Median Absolute Error    2053.09        300  100
../datasets_2/china.arff     RMSE                     8178.49        300  100
../datasets_2/china.arff     R2 Score                   -0.338214    300  100
../datasets_2/china.arff     MAE                      4334.86        400   25
../datasets_2/china.arff     Median Absolute Error    2276.26        400   25
../datasets_2/china.arff     RMSE                     8292.99        400   25
../datasets_2/china.arff     R2 Score                   -0.375946    400   25
../datasets_2/china.arff     MAE                      4236.59        400   50
../datasets_2/china.arff     Median Absolute Error    2176.27        400   50
../datasets_2/china.arff     RMSE                     8241.15        400   50
../datasets_2/china.arff     R2 Score                   -0.358799    400   50
../datasets_2/china.arff     MAE                      4143.17        400   75
../datasets_2/china.arff     Median Absolute Error    2079.51        400   75
../datasets_2/china.arff     RMSE                     8191.82        400   75
../datasets_2/china.arff     R2 Score                   -0.34258     400   75
../datasets_2/china.arff     MAE                      4036.34        400  100
../datasets_2/china.arff     Median Absolute Error    1965.58        400  100
../datasets_2/china.arff     RMSE                     8134.76        400  100
../datasets_2/china.arff     R2 Score                   -0.323943    400  100
../datasets_2/china.arff     MAE                      4314.5         500   25
../datasets_2/china.arff     Median Absolute Error    2255.77        500   25
../datasets_2/china.arff     RMSE                     8282.3         500   25
../datasets_2/china.arff     R2 Score                   -0.3724      500   25
../datasets_2/china.arff     MAE                      4158.35        500   50
../datasets_2/china.arff     Median Absolute Error    2095.46        500   50
../datasets_2/china.arff     RMSE                     8199.9         500   50
../datasets_2/china.arff     R2 Score                   -0.345229    500   50
../datasets_2/china.arff     MAE                      4084.7         500   75
../datasets_2/china.arff     Median Absolute Error    2017.82        500   75
../datasets_2/china.arff     RMSE                     8160.79        500   75
../datasets_2/china.arff     R2 Score                   -0.332427    500   75
../datasets_2/china.arff     MAE                      3964.72        500  100
../datasets_2/china.arff     Median Absolute Error    1887.25        500  100
../datasets_2/china.arff     RMSE                     8096.18        500  100
../datasets_2/china.arff     R2 Score                   -0.311413    500  100
../datasets_2/china.arff     MAE                      4258.95        600   25
../datasets_2/china.arff     Median Absolute Error    2199.19        600   25
../datasets_2/china.arff     RMSE                     8252.96        600   25
../datasets_2/china.arff     R2 Score                   -0.362695    600   25
../datasets_2/china.arff     MAE                      4121.87        600   50
../datasets_2/china.arff     Median Absolute Error    2057.34        600   50
../datasets_2/china.arff     RMSE                     8180.63        600   50
../datasets_2/china.arff     R2 Score                   -0.338915    600   50
../datasets_2/china.arff     MAE                      4015.78        600   75
../datasets_2/china.arff     Median Absolute Error    1943.5         600   75
../datasets_2/china.arff     RMSE                     8123.84        600   75
../datasets_2/china.arff     R2 Score                   -0.320388    600   75
../datasets_2/china.arff     MAE                      3857.96        600  100
../datasets_2/china.arff     Median Absolute Error    1763.76        600  100
../datasets_2/china.arff     RMSE                     8036.42        600  100
../datasets_2/china.arff     R2 Score                   -0.292125    600  100
../datasets_2/china.arff     MAE                      4243.64        700   25
../datasets_2/china.arff     Median Absolute Error    2183.41        700   25
../datasets_2/china.arff     RMSE                     8244.83        700   25
../datasets_2/china.arff     R2 Score                   -0.360011    700   25
../datasets_2/china.arff     MAE                      4106.58        700   50
../datasets_2/china.arff     Median Absolute Error    2041.45        700   50
../datasets_2/china.arff     RMSE                     8172.64        700   50
../datasets_2/china.arff     R2 Score                   -0.3363      700   50
../datasets_2/china.arff     MAE                      3942.96        700   75
../datasets_2/china.arff     Median Absolute Error    1862.8         700   75
../datasets_2/china.arff     RMSE                     8084.24        700   75
../datasets_2/china.arff     R2 Score                   -0.307549    700   75
../datasets_2/china.arff     MAE                      3795.57        700  100
../datasets_2/china.arff     Median Absolute Error    1685.22        700  100
../datasets_2/china.arff     RMSE                     7999.08        700  100
../datasets_2/china.arff     R2 Score                   -0.280146    700  100
../datasets_2/china.arff     MAE                      4241.08        800   25
../datasets_2/china.arff     Median Absolute Error    2180.67        800   25
../datasets_2/china.arff     RMSE                     8243.42        800   25
../datasets_2/china.arff     R2 Score                   -0.359547    800   25
../datasets_2/china.arff     MAE                      4027.82        800   50
../datasets_2/china.arff     Median Absolute Error    1956.72        800   50
../datasets_2/china.arff     RMSE                     8130.37        800   50
../datasets_2/china.arff     R2 Score                   -0.322514    800   50
../datasets_2/china.arff     MAE                      3865.88        800   75
../datasets_2/china.arff     Median Absolute Error    1774.38        800   75
../datasets_2/china.arff     RMSE                     8041.5         800   75
../datasets_2/china.arff     R2 Score                   -0.29376     800   75
../datasets_2/china.arff     MAE                      3784.94        800  100
../datasets_2/china.arff     Median Absolute Error    1675.53        800  100
../datasets_2/china.arff     RMSE                     7994.49        800  100
../datasets_2/china.arff     R2 Score                   -0.278678    800  100
../datasets_2/china.arff     MAE                      4209.37        900   25
../datasets_2/china.arff     Median Absolute Error    2147.94        900   25
../datasets_2/china.arff     RMSE                     8226.63        900   25
../datasets_2/china.arff     R2 Score                   -0.354013    900   25
../datasets_2/china.arff     MAE                      3999.28        900   50
../datasets_2/china.arff     Median Absolute Error    1924.83        900   50
../datasets_2/china.arff     RMSE                     8114.63        900   50
../datasets_2/china.arff     R2 Score                   -0.317396    900   50
../datasets_2/china.arff     MAE                      3816.83        900   75
../datasets_2/china.arff     Median Absolute Error    1712.46        900   75
../datasets_2/china.arff     RMSE                     8011.98        900   75
../datasets_2/china.arff     R2 Score                   -0.284279    900   75
../datasets_2/china.arff     MAE                      3664.24        900  100
../datasets_2/china.arff     Median Absolute Error    1514.47        900  100
../datasets_2/china.arff     RMSE                     7919.47        900  100
../datasets_2/china.arff     R2 Score                   -0.254791    900  100
../datasets_2/china.arff     MAE                      4178.36       1000   25
../datasets_2/china.arff     Median Absolute Error    2116.27       1000   25
../datasets_2/china.arff     RMSE                     8210.47       1000   25
../datasets_2/china.arff     R2 Score                   -0.348699   1000   25
../datasets_2/china.arff     MAE                      3964.77       1000   50
../datasets_2/china.arff     Median Absolute Error    1887.4        1000   50
../datasets_2/china.arff     RMSE                     8096.27       1000   50
../datasets_2/china.arff     R2 Score                   -0.311443   1000   50
../datasets_2/china.arff     MAE                      3729.93       1000   75
../datasets_2/china.arff     Median Absolute Error    1601.84       1000   75
../datasets_2/china.arff     RMSE                     7959.93       1000   75
../datasets_2/china.arff     R2 Score                   -0.267646   1000   75
../datasets_2/china.arff     MAE                      3593.26       1000  100
../datasets_2/china.arff     Median Absolute Error    1412.92       1000  100
../datasets_2/china.arff     RMSE                     7873.12       1000  100
../datasets_2/china.arff     R2 Score                   -0.240147   1000  100
