Dataset                      Metric                    metric valor    p    k
../datasets_2/kemerer.arff   R2 Score                  -0.532882       2    8
../datasets_2/kemerer.arff   MAE                       88.4222         1    9
../datasets_2/kemerer.arff   Median Absolute Error     82.3222         1    9
../datasets_2/kemerer.arff   RMSE                      93.7666         1    9
../datasets_2/kemerer.arff   R2 Score                  -3.58703        1    9
../datasets_2/kemerer.arff   MAE                      360.737          2    9
../datasets_2/kemerer.arff   Median Absolute Error     99.8889         2    9
../datasets_2/kemerer.arff   RMSE                     536.129          2    9
../datasets_2/kemerer.arff   R2 Score                  -0.436036       2    9
../datasets_2/cocomo81.arff  MAE                      438.641          1    3
../datasets_2/cocomo81.arff  Median Absolute Error    313.333          1    3
../datasets_2/cocomo81.arff  RMSE                     695.852          1    3
../datasets_2/cocomo81.arff  R2 Score                  -0.171384       1    3
../datasets_2/cocomo81.arff  MAE                     1492.59           2    3
../datasets_2/cocomo81.arff  Median Absolute Error    232              2    3
../datasets_2/cocomo81.arff  RMSE                    3391.44           2    3
../datasets_2/cocomo81.arff  R2 Score                  -0.0509337      2    3
../datasets_2/cocomo81.arff  MAE                      975.058          1    4
../datasets_2/cocomo81.arff  Median Absolute Error    206.25           1    4
../datasets_2/cocomo81.arff  RMSE                    2679.55           1    4
../datasets_2/cocomo81.arff  R2 Score                   0.202125       1    4
../datasets_2/cocomo81.arff  MAE                      666.635          2    4
../datasets_2/cocomo81.arff  Median Absolute Error    256.75           2    4
../datasets_2/cocomo81.arff  RMSE                    1331.59           2    4
../datasets_2/cocomo81.arff  R2 Score                 -11.6493         2    4
../datasets_2/cocomo81.arff  MAE                      260.12           1    5
../datasets_2/cocomo81.arff  Median Absolute Error    118.2            1    5
../datasets_2/cocomo81.arff  RMSE                     384.836          1    5
../datasets_2/cocomo81.arff  R2 Score                   0.153474       1    5
../datasets_2/cocomo81.arff  MAE                     1317.28           2    5
../datasets_2/cocomo81.arff  Median Absolute Error    249.8            2    5
../datasets_2/cocomo81.arff  RMSE                    3050.81           2    5
../datasets_2/cocomo81.arff  R2 Score                   0.161337       2    5
../datasets_2/cocomo81.arff  MAE                     1018.76           1    6
../datasets_2/cocomo81.arff  Median Absolute Error    353.65           1    6
../datasets_2/cocomo81.arff  RMSE                    2657.61           1    6
../datasets_2/cocomo81.arff  R2 Score                   0.210329       1    6
../datasets_2/cocomo81.arff  MAE                      145.833          2    6
../datasets_2/cocomo81.arff  Median Absolute Error     50.5            2    6
../datasets_2/cocomo81.arff  RMSE                     204.881          2    6
../datasets_2/cocomo81.arff  R2 Score                  -0.234164       2    6
../datasets_2/cocomo81.arff  MAE                      365.295          1    7
../datasets_2/cocomo81.arff  Median Absolute Error    188.714          1    7
../datasets_2/cocomo81.arff  RMSE                     558.488          1    7
../datasets_2/cocomo81.arff  R2 Score                   0.495616       1    7
../datasets_2/cocomo81.arff  MAE                      516.771          2    7
../datasets_2/cocomo81.arff  Median Absolute Error    163.714          2    7
../datasets_2/cocomo81.arff  RMSE                    1216.98           2    7
../datasets_2/cocomo81.arff  R2 Score                   0.462446       2    7
../datasets_2/cocomo81.arff  MAE                      310.267          1    8
../datasets_2/cocomo81.arff  Median Absolute Error    150.625          1    8
../datasets_2/cocomo81.arff  RMSE                     501.25           1    8
../datasets_2/cocomo81.arff  R2 Score                   0.596554       1    8
../datasets_2/cocomo81.arff  MAE                      335.394          2    8
../datasets_2/cocomo81.arff  Median Absolute Error    123.75           2    8
../datasets_2/cocomo81.arff  RMSE                     682.669          2    8
../datasets_2/cocomo81.arff  R2 Score                 -61.2615         2    8
../datasets_2/cocomo81.arff  MAE                      398.34           1    9
../datasets_2/cocomo81.arff  Median Absolute Error    191.778          1    9
../datasets_2/cocomo81.arff  RMSE                     713.47           1    9
../datasets_2/cocomo81.arff  R2 Score                  -1.50242        1    9
../datasets_2/cocomo81.arff  MAE                      291.303          2    9
../datasets_2/cocomo81.arff  Median Absolute Error    133.111          2    9
../datasets_2/cocomo81.arff  RMSE                     627.786          2    9
../datasets_2/cocomo81.arff  R2 Score                  -2.14004        2    9
../datasets_2/china.arff     MAE                     1852.66           1    3
../datasets_2/china.arff     Median Absolute Error    720.5            1    3
../datasets_2/china.arff     RMSE                    3744.05           1    3
../datasets_2/china.arff     R2 Score                   0.765564       1    3
../datasets_2/china.arff     MAE                     1547.63           2    3
../datasets_2/china.arff     Median Absolute Error    594.833          2    3
../datasets_2/china.arff     RMSE                    3531.43           2    3
../datasets_2/china.arff     R2 Score                   0.781202       2    3
../datasets_2/china.arff     MAE                     1581.78           1    4
../datasets_2/china.arff     Median Absolute Error    598.5            1    4
../datasets_2/china.arff     RMSE                    2957.88           1    4
../datasets_2/china.arff     R2 Score                   0.762681       1    4
../datasets_2/china.arff     MAE                     1328.22           2    4
../datasets_2/china.arff     Median Absolute Error    772.75           2    4
../datasets_2/china.arff     RMSE                    2678.71           2    4
../datasets_2/china.arff     R2 Score                   0.753458       2    4
../datasets_2/china.arff     MAE                     1072.01           1    5
../datasets_2/china.arff     Median Absolute Error    501.9            1    5
../datasets_2/china.arff     RMSE                    1988.73           1    5
../datasets_2/china.arff     R2 Score                   0.867397       1    5
../datasets_2/china.arff     MAE                     1563.88           2    5
../datasets_2/china.arff     Median Absolute Error    706.2            2    5
../datasets_2/china.arff     RMSE                    3130.72           2    5
../datasets_2/china.arff     R2 Score                   0.787255       2    5
../datasets_2/china.arff     MAE                     1590.35           1    6
../datasets_2/china.arff     Median Absolute Error    571.083          1    6
../datasets_2/china.arff     RMSE                    4856.86           1    6
../datasets_2/china.arff     R2 Score                   0.532281       1    6
../datasets_2/china.arff     MAE                     1876.41           2    6
../datasets_2/china.arff     Median Absolute Error    762.917          2    6
../datasets_2/china.arff     RMSE                    3657.49           2    6
../datasets_2/china.arff     R2 Score                   0.752408       2    6
../datasets_2/china.arff     MAE                     1500.16           1    7
../datasets_2/china.arff     Median Absolute Error    624.357          1    7
../datasets_2/china.arff     RMSE                    3199.16           1    7
../datasets_2/china.arff     R2 Score                   0.685203       1    7
../datasets_2/china.arff     MAE                     1703.08           2    7
../datasets_2/china.arff     Median Absolute Error    677              2    7
../datasets_2/china.arff     RMSE                    3516.94           2    7
../datasets_2/china.arff     R2 Score                   0.647524       2    7
../datasets_2/china.arff     MAE                     1477.58           1    8
../datasets_2/china.arff     Median Absolute Error    575.562          1    8
../datasets_2/china.arff     RMSE                    3161.61           1    8
../datasets_2/china.arff     R2 Score                   0.691601       1    8
../datasets_2/china.arff     MAE                     2123.92           2    8
../datasets_2/china.arff     Median Absolute Error    910.312          2    8
../datasets_2/china.arff     RMSE                    3984.3            2    8
../datasets_2/china.arff     R2 Score                   0.722762       2    8
../datasets_2/china.arff     MAE                     1591.32           1    9
../datasets_2/china.arff     Median Absolute Error    815.611          1    9
../datasets_2/china.arff     RMSE                    2697.39           1    9
../datasets_2/china.arff     R2 Score                   0.75318        1    9
../datasets_2/china.arff     MAE                     2278.16           2    9
../datasets_2/china.arff     Median Absolute Error    914.889          2    9
../datasets_2/china.arff     RMSE                    4721.64           2    9
../datasets_2/china.arff     R2 Score                   0.613973       2    9
../datasets_2/albrecht.arff  MAE                       10.6333         1    3
../datasets_2/albrecht.arff  Median Absolute Error      4.33333        1    3
../datasets_2/albrecht.arff  RMSE                      17.2904         1    3
../datasets_2/albrecht.arff  R2 Score                   0.239346       1    3
../datasets_2/albrecht.arff  MAE                        3.12667        2    3
../datasets_2/albrecht.arff  Median Absolute Error      3.3            2    3
../datasets_2/albrecht.arff  RMSE                       3.8851         2    3
../datasets_2/albrecht.arff  R2 Score                  -4.17911        2    3
../datasets_2/albrecht.arff  MAE                       11.15           1    4
../datasets_2/albrecht.arff  Median Absolute Error      5.4            1    4
../datasets_2/albrecht.arff  RMSE                      18.4061         1    4
../datasets_2/albrecht.arff  R2 Score                   0.198556       1    4
../datasets_2/albrecht.arff  MAE                       11.755          2    4
../datasets_2/albrecht.arff  Median Absolute Error      6.425          2    4
../datasets_2/albrecht.arff  RMSE                      17.8331         2    4
../datasets_2/albrecht.arff  R2 Score                   0.370846       2    4
../datasets_2/albrecht.arff  MAE                        4.432          1    5
../datasets_2/albrecht.arff  Median Absolute Error      4.36           1    5
../datasets_2/albrecht.arff  RMSE                       4.80253        1    5
../datasets_2/albrecht.arff  R2 Score                   0.942796       1    5
../datasets_2/albrecht.arff  MAE                        6.116          2    5
../datasets_2/albrecht.arff  Median Absolute Error      3.14           2    5
../datasets_2/albrecht.arff  RMSE                       8.53641        2    5
../datasets_2/albrecht.arff  R2 Score                   0.169399       2    5
../datasets_2/albrecht.arff  MAE                        5.99333        1    6
../datasets_2/albrecht.arff  Median Absolute Error      5.25           1    6
../datasets_2/albrecht.arff  RMSE                       7.44818        1    6
../datasets_2/albrecht.arff  R2 Score                   0.642119       1    6
../datasets_2/albrecht.arff  MAE                        4.99333        2    6
../datasets_2/albrecht.arff  Median Absolute Error      4.83333        2    6
../datasets_2/albrecht.arff  RMSE                       5.53776        2    6
../datasets_2/albrecht.arff  R2 Score                  -1.72894        2    6
../datasets_2/albrecht.arff  MAE                       15.4714         1    7
../datasets_2/albrecht.arff  Median Absolute Error      4.31429        1    7
../datasets_2/albrecht.arff  RMSE                      28.9889         1    7
../datasets_2/albrecht.arff  R2 Score                   0.402791       1    7
../datasets_2/albrecht.arff  MAE                       13.1771         2    7
../datasets_2/albrecht.arff  Median Absolute Error     19.6714         2    7
../datasets_2/albrecht.arff  RMSE                      16.5155         2    7
../datasets_2/albrecht.arff  R2 Score                   0.270526       2    7
../datasets_2/albrecht.arff  MAE                       16.13           1    8
../datasets_2/albrecht.arff  Median Absolute Error      3.625          1    8
../datasets_2/albrecht.arff  RMSE                      30.6444         1    8
