Dataset,Model,MSE,RMSE,MAE,MAPE,R²,Explained Variance,Max Error
cleaned_cocomo81.txt,Regressão Linear,0.1861843092769598,,0.08377856563724678,525.138264582661,0.29598157676383907,0.3778913780950849,0.776780672566303
cleaned_desharnais.txt,Regressão Linear,0.1754059931916913,,0.12037900810696911,0.7977372873579736,-0.3890233294584886,-0.38345179352949454,0.49192340021476655
cleaned_isbsg.txt,Regressão Linear,0.1083752101529016,,0.10061323830085091,2.021612361934178,0.8118958376126227,0.8678880137438802,0.16824558194436928
cleaned_maxwell.txt,Regressão Linear,0.14775071587240246,,0.09896097034048175,85881253254478.12,-1.334617042857682,-1.3223507959518486,0.4225910139588894
cleaned_china.txt,Regressão Linear,0.01963187201792082,,0.007177816391550982,0.3325077739610991,0.9635243281435647,0.9636061086897723,0.19671850447053765
cleaned_cocomo81.txt,Regressão Ridge,0.06079253848356778,,0.048836014927782,1044.0255557867595,-0.5526327755086495,-0.49881153036884895,0.11588701959651404
cleaned_desharnais.txt,Regressão Ridge,0.13600676681717264,,0.08726937709672813,0.37947461687923656,0.2913226768846594,0.4322851210897092,0.3594992092388698
cleaned_isbsg.txt,Regressão Ridge,0.11860852260986646,,0.09756706679429869,1.619736534896402,-1.1117048102671019,0.004029341095522554,0.18907416894943768
cleaned_maxwell.txt,Regressão Ridge,0.04187621308028565,,0.034527802971045955,1.7163129213750705,0.5767909555293954,0.6001734169301423,0.0849478157622934
cleaned_china.txt,Regressão Ridge,0.028778134171262567,,0.01230766113739169,0.4949845817964284,0.917877740420089,0.9179037510927432,0.19771318462947762
cleaned_cocomo81.txt,Regressão Lasso,0.06301333108975075,,0.059374561598344096,620.1712092963775,-0.6681422028238035,0.0,0.1108394695500303
cleaned_desharnais.txt,Regressão Lasso,0.1760999120855839,,0.13475077503409166,0.8996080055492279,-0.18808026286264368,0.0,0.4249247039664087
cleaned_isbsg.txt,Regressão Lasso,0.1275948227798263,,0.09807411241702699,3.192267637836099,-1.443810478145739,0.0,0.1962654527738871
cleaned_maxwell.txt,Regressão Lasso,0.08283481770224638,,0.07391416588355315,5.477959185860092,-0.6559452745556964,2.220446049250313,0.12499374118616405
cleaned_china.txt,Regressão Lasso,0.10215750584552592,,0.05903359573054333,5.452321623620988,-0.034847099238549006,2.220446049250313,0.822578573407178
cleaned_cocomo81.txt,Regressão ElasticNet,0.06301333108975075,,0.059374561598344096,620.1712092963775,-0.6681422028238035,0.0,0.1108394695500303
cleaned_desharnais.txt,Regressão ElasticNet,0.1760999120855839,,0.13475077503409166,0.8996080055492279,-0.18808026286264368,0.0,0.4249247039664087
cleaned_isbsg.txt,Regressão ElasticNet,0.09683245808312518,,0.07539452530784323,2.4189708501499347,-0.4074835558365357,0.3785291601107854,0.14831693024143125
cleaned_maxwell.txt,Regressão ElasticNet,0.08283481770224638,,0.07391416588355315,5.477959185860092,-0.6559452745556964,2.220446049250313,0.12499374118616405
cleaned_china.txt,Regressão ElasticNet,0.10215750584552592,,0.05903359573054333,5.452321623620988,-0.034847099238549006,2.220446049250313,0.822578573407178
cleaned_cocomo81.txt,Suporte a Vetores para Regressão,0.14447823696848203,,0.11839237168279013,974.3386183944596,-7.769464206105207,-7.544996045239344,0.29908467359204954
cleaned_desharnais.txt,Suporte a Vetores para Regressão,0.14489397805848722,,0.10731500622130483,0.6262647379710298,0.19568128303007393,0.2090504954983411,0.3286619189801376
cleaned_isbsg.txt,Suporte a Vetores para Regressão,0.13485162357608585,,0.09669516786078378,0.8383802343213123,-1.7296928092273034,-0.7532900727155176,0.26999555799357
cleaned_maxwell.txt,Suporte a Vetores para Regressão,0.076920615168462,,0.06797804097412563,2.1038725096293716,-0.4279257856575831,-0.2981435828718739,0.12147077398820491
cleaned_china.txt,Suporte a Vetores para Regressão,0.0729811660208917,,0.06933322948005649,5.9917441092542045,0.471850078086818,0.893175697299052,0.1837745190723754
cleaned_cocomo81.txt,Regressão com Árvore de Decisão,0.05245894606015251,,0.027649551806791073,28.670810514209577,-0.1561317153265962,-0.10162442807148886,0.16564128218405433
cleaned_desharnais.txt,Regressão com Árvore de Decisão,0.1490819416102182,,0.10885515281067544,0.5451410597771953,0.1485138595184401,0.3312430012792117,0.4115300219429483
cleaned_isbsg.txt,Regressão com Árvore de Decisão,0.13051195571788773,,0.09757627428293038,0.6399241996232907,-1.5568309322205982,-0.18205796124539964,0.20017051336702996
cleaned_maxwell.txt,Regressão com Árvore de Decisão,0.045592519128536874,,0.038452843971691714,1.3386193991908324,0.49834249190939717,0.5127739919935697,0.0775718395150824
cleaned_china.txt,Regressão com Árvore de Decisão,0.03079272490110663,,0.008990555721093273,0.2538902513170251,0.9059774840223257,0.9076948152364096,0.2883650217972671
cleaned_cocomo81.txt,Regressão com Floresta Aleatória,0.04330652026363893,,0.024727915343444422,22.329128316450877,0.21209334098074684,0.23728695918176113,0.13189351050194198
cleaned_desharnais.txt,Regressão com Floresta Aleatória,0.15468698508825207,,0.11186888249988777,0.526248700634397,0.08328349051419359,0.24257948141878682,0.42189013243059137
cleaned_isbsg.txt,Regressão com Floresta Aleatória,0.04931036075042314,,0.04250251961532024,1.034845978306678,0.6350126806943931,0.8904331389946242,0.07805328736045497
cleaned_maxwell.txt,Regressão com Floresta Aleatória,0.07069443910958127,,0.04065471110470441,1.5481115299406594,-0.20612034932734424,-0.047607216442513645,0.22298032170831303
cleaned_china.txt,Regressão com Floresta Aleatória,0.028247582102224295,,0.007658863628135389,0.23002107734517352,0.9208778311275708,0.9218290750267089,0.2678654509391406
